placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-01-02 00:00:00,2025-01-02 01:00:00,0
fukui-station-east-entrance,Person,2025-01-02 01:00:00,2025-01-02 02:00:00,0
fukui-station-east-entrance,Person,2025-01-02 02:00:00,2025-01-02 03:00:00,0
fukui-station-east-entrance,Person,2025-01-02 03:00:00,2025-01-02 04:00:00,0
fukui-station-east-entrance,Person,2025-01-02 04:00:00,2025-01-02 05:00:00,0
fukui-station-east-entrance,Person,2025-01-02 05:00:00,2025-01-02 06:00:00,17
fukui-station-east-entrance,Person,2025-01-02 06:00:00,2025-01-02 07:00:00,127
fukui-station-east-entrance,Person,2025-01-02 07:00:00,2025-01-02 08:00:00,97
fukui-station-east-entrance,Person,2025-01-02 08:00:00,2025-01-02 09:00:00,312
fukui-station-east-entrance,Person,2025-01-02 09:00:00,2025-01-02 10:00:00,564
fukui-station-east-entrance,Person,2025-01-02 10:00:00,2025-01-02 11:00:00,884
fukui-station-east-entrance,Person,2025-01-02 11:00:00,2025-01-02 12:00:00,867
fukui-station-east-entrance,Person,2025-01-02 12:00:00,2025-01-02 13:00:00,1065
fukui-station-east-entrance,Person,2025-01-02 13:00:00,2025-01-02 14:00:00,1049
fukui-station-east-entrance,Person,2025-01-02 14:00:00,2025-01-02 15:00:00,1223
fukui-station-east-entrance,Person,2025-01-02 15:00:00,2025-01-02 16:00:00,1366
fukui-station-east-entrance,Person,2025-01-02 16:00:00,2025-01-02 17:00:00,1414
fukui-station-east-entrance,Person,2025-01-02 17:00:00,2025-01-02 18:00:00,897
fukui-station-east-entrance,Person,2025-01-02 18:00:00,2025-01-02 19:00:00,891
fukui-station-east-entrance,Person,2025-01-02 19:00:00,2025-01-02 20:00:00,293
fukui-station-east-entrance,Person,2025-01-02 20:00:00,2025-01-02 21:00:00,178
fukui-station-east-entrance,Person,2025-01-02 21:00:00,2025-01-02 22:00:00,114
fukui-station-east-entrance,Person,2025-01-02 22:00:00,2025-01-02 23:00:00,117
fukui-station-east-entrance,Person,2025-01-02 23:00:00,2025-01-03 00:00:00,3
