placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2026-02-28 00:00:00,2026-02-28 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 01:00:00,2026-02-28 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 02:00:00,2026-02-28 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 03:00:00,2026-02-28 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 04:00:00,2026-02-28 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 05:00:00,2026-02-28 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 06:00:00,2026-02-28 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 07:00:00,2026-02-28 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 08:00:00,2026-02-28 09:00:00,7,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 09:00:00,2026-02-28 10:00:00,15,2,4,1,2,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 10:00:00,2026-02-28 11:00:00,54,1,17,2,3,8,4,5,3,0,0,2,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 11:00:00,2026-02-28 12:00:00,44,0,14,4,2,2,3,2,0,2,0,3,4,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 12:00:00,2026-02-28 13:00:00,29,0,8,2,1,3,1,0,1,1,0,5,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 13:00:00,2026-02-28 14:00:00,44,0,14,4,3,4,4,4,0,1,0,1,1,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 14:00:00,2026-02-28 15:00:00,48,1,24,1,0,2,4,0,3,0,0,2,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 15:00:00,2026-02-28 16:00:00,64,1,25,4,2,6,1,3,3,1,0,6,3,0,3,3,0,2,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 16:00:00,2026-02-28 17:00:00,61,2,21,6,2,5,4,4,0,0,0,7,1,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 17:00:00,2026-02-28 18:00:00,35,1,14,3,4,3,2,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 18:00:00,2026-02-28 19:00:00,20,0,9,2,1,0,1,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 19:00:00,2026-02-28 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 20:00:00,2026-02-28 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 21:00:00,2026-02-28 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 22:00:00,2026-02-28 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-02-28 23:00:00,2026-03-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
