placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2025-03-06 00:00:00,2025-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 01:00:00,2025-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 02:00:00,2025-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 03:00:00,2025-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 04:00:00,2025-03-06 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 05:00:00,2025-03-06 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 06:00:00,2025-03-06 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 07:00:00,2025-03-06 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 08:00:00,2025-03-06 09:00:00,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 09:00:00,2025-03-06 10:00:00,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 10:00:00,2025-03-06 11:00:00,8,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 11:00:00,2025-03-06 12:00:00,53,0,9,3,6,7,1,4,1,1,0,2,1,1,2,4,5,6,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 12:00:00,2025-03-06 13:00:00,16,0,0,1,3,0,2,1,0,0,0,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 13:00:00,2025-03-06 14:00:00,20,0,3,2,1,0,0,2,1,3,0,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 14:00:00,2025-03-06 15:00:00,8,0,1,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 15:00:00,2025-03-06 16:00:00,31,0,6,2,0,3,0,0,3,2,0,5,2,1,2,3,1,0,0,0,0,0,0,0,1,0,0,0
tojinbo-shotaro,Face,2025-03-06 16:00:00,2025-03-06 17:00:00,15,0,0,3,3,1,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 17:00:00,2025-03-06 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 18:00:00,2025-03-06 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 19:00:00,2025-03-06 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 20:00:00,2025-03-06 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 21:00:00,2025-03-06 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 22:00:00,2025-03-06 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-06 23:00:00,2025-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
