placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-04-22 12:00:00,2025-04-22 12:05:00,56
fukui-station-east-entrance,Person,2025-04-22 12:05:00,2025-04-22 12:10:00,32
fukui-station-east-entrance,Person,2025-04-22 12:10:00,2025-04-22 12:15:00,29
fukui-station-east-entrance,Person,2025-04-22 12:15:00,2025-04-22 12:20:00,52
fukui-station-east-entrance,Person,2025-04-22 12:20:00,2025-04-22 12:25:00,33
fukui-station-east-entrance,Person,2025-04-22 12:25:00,2025-04-22 12:30:00,46
fukui-station-east-entrance,Person,2025-04-22 12:30:00,2025-04-22 12:35:00,52
fukui-station-east-entrance,Person,2025-04-22 12:35:00,2025-04-22 12:40:00,52
fukui-station-east-entrance,Person,2025-04-22 12:40:00,2025-04-22 12:45:00,39
fukui-station-east-entrance,Person,2025-04-22 12:45:00,2025-04-22 12:50:00,58
fukui-station-east-entrance,Person,2025-04-22 12:50:00,2025-04-22 12:55:00,56
fukui-station-east-entrance,Person,2025-04-22 12:55:00,2025-04-22 13:00:00,38
