placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2025-11-30 00:00:00,2025-11-30 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 01:00:00,2025-11-30 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 02:00:00,2025-11-30 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 03:00:00,2025-11-30 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 04:00:00,2025-11-30 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 05:00:00,2025-11-30 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 06:00:00,2025-11-30 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 07:00:00,2025-11-30 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 08:00:00,2025-11-30 09:00:00,12,0,0,1,1,0,1,0,3,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 09:00:00,2025-11-30 10:00:00,50,1,18,2,2,4,6,5,4,0,0,1,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 10:00:00,2025-11-30 11:00:00,53,1,21,3,1,6,7,0,0,3,0,3,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 11:00:00,2025-11-30 12:00:00,58,0,18,4,3,9,1,1,1,0,0,5,2,3,3,2,2,0,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 12:00:00,2025-11-30 13:00:00,56,0,17,4,1,9,3,1,1,1,0,2,5,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 13:00:00,2025-11-30 14:00:00,64,1,17,4,5,7,5,1,3,1,0,5,0,2,4,5,1,2,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 14:00:00,2025-11-30 15:00:00,48,0,17,5,2,6,1,1,2,1,0,3,4,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 15:00:00,2025-11-30 16:00:00,49,1,17,6,2,9,1,2,0,0,0,2,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 16:00:00,2025-11-30 17:00:00,91,0,35,4,8,10,8,4,1,1,0,7,3,3,3,2,0,0,1,0,0,0,0,0,0,1,0,0
fukui-station-east-entrance,Face,2025-11-30 17:00:00,2025-11-30 18:00:00,20,0,2,1,3,2,0,3,1,0,0,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 18:00:00,2025-11-30 19:00:00,30,0,9,4,3,1,3,0,0,1,0,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 19:00:00,2025-11-30 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 20:00:00,2025-11-30 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 21:00:00,2025-11-30 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 22:00:00,2025-11-30 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-11-30 23:00:00,2025-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
