placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-04-08 16:00:00,2025-04-08 16:05:00,39
tojinbo-shotaro,Person,2025-04-08 16:05:00,2025-04-08 16:10:00,53
tojinbo-shotaro,Person,2025-04-08 16:10:00,2025-04-08 16:15:00,25
tojinbo-shotaro,Person,2025-04-08 16:15:00,2025-04-08 16:20:00,55
tojinbo-shotaro,Person,2025-04-08 16:20:00,2025-04-08 16:25:00,66
tojinbo-shotaro,Person,2025-04-08 16:25:00,2025-04-08 16:30:00,62
tojinbo-shotaro,Person,2025-04-08 16:30:00,2025-04-08 16:35:00,22
tojinbo-shotaro,Person,2025-04-08 16:35:00,2025-04-08 16:40:00,15
tojinbo-shotaro,Person,2025-04-08 16:40:00,2025-04-08 16:45:00,15
tojinbo-shotaro,Person,2025-04-08 16:45:00,2025-04-08 16:50:00,7
tojinbo-shotaro,Person,2025-04-08 16:50:00,2025-04-08 16:55:00,59
tojinbo-shotaro,Person,2025-04-08 16:55:00,2025-04-08 17:00:00,13
