placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-05-15 16:00:00,2025-05-15 16:05:00,77
fukui-station-east-entrance,Person,2025-05-15 16:05:00,2025-05-15 16:10:00,75
fukui-station-east-entrance,Person,2025-05-15 16:10:00,2025-05-15 16:15:00,81
fukui-station-east-entrance,Person,2025-05-15 16:15:00,2025-05-15 16:20:00,89
fukui-station-east-entrance,Person,2025-05-15 16:20:00,2025-05-15 16:25:00,49
fukui-station-east-entrance,Person,2025-05-15 16:25:00,2025-05-15 16:30:00,83
fukui-station-east-entrance,Person,2025-05-15 16:30:00,2025-05-15 16:35:00,91
fukui-station-east-entrance,Person,2025-05-15 16:35:00,2025-05-15 16:40:00,80
fukui-station-east-entrance,Person,2025-05-15 16:40:00,2025-05-15 16:45:00,64
fukui-station-east-entrance,Person,2025-05-15 16:45:00,2025-05-15 16:50:00,64
fukui-station-east-entrance,Person,2025-05-15 16:50:00,2025-05-15 16:55:00,51
fukui-station-east-entrance,Person,2025-05-15 16:55:00,2025-05-15 17:00:00,56
