placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-01-07 16:00:00,2025-01-07 16:05:00,5
tojinbo-shotaro,Person,2025-01-07 16:05:00,2025-01-07 16:10:00,2
tojinbo-shotaro,Person,2025-01-07 16:10:00,2025-01-07 16:15:00,0
tojinbo-shotaro,Person,2025-01-07 16:15:00,2025-01-07 16:20:00,0
tojinbo-shotaro,Person,2025-01-07 16:20:00,2025-01-07 16:25:00,0
tojinbo-shotaro,Person,2025-01-07 16:25:00,2025-01-07 16:30:00,0
tojinbo-shotaro,Person,2025-01-07 16:30:00,2025-01-07 16:35:00,3
tojinbo-shotaro,Person,2025-01-07 16:35:00,2025-01-07 16:40:00,0
tojinbo-shotaro,Person,2025-01-07 16:40:00,2025-01-07 16:45:00,2
tojinbo-shotaro,Person,2025-01-07 16:45:00,2025-01-07 16:50:00,0
tojinbo-shotaro,Person,2025-01-07 16:50:00,2025-01-07 16:55:00,2
tojinbo-shotaro,Person,2025-01-07 16:55:00,2025-01-07 17:00:00,0
