placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-10-01 00:00:00,2025-10-02 00:00:00,4743
tojinbo-shotaro,Person,2025-10-02 00:00:00,2025-10-03 00:00:00,7139
tojinbo-shotaro,Person,2025-10-03 00:00:00,2025-10-04 00:00:00,0
tojinbo-shotaro,Person,2025-10-04 00:00:00,2025-10-05 00:00:00,9529
tojinbo-shotaro,Person,2025-10-05 00:00:00,2025-10-06 00:00:00,10656
tojinbo-shotaro,Person,2025-10-06 00:00:00,2025-10-07 00:00:00,9095
tojinbo-shotaro,Person,2025-10-07 00:00:00,2025-10-08 00:00:00,6127
tojinbo-shotaro,Person,2025-10-08 00:00:00,2025-10-09 00:00:00,7664
tojinbo-shotaro,Person,2025-10-09 00:00:00,2025-10-10 00:00:00,8099
tojinbo-shotaro,Person,2025-10-10 00:00:00,2025-10-11 00:00:00,0
tojinbo-shotaro,Person,2025-10-11 00:00:00,2025-10-12 00:00:00,16594
tojinbo-shotaro,Person,2025-10-12 00:00:00,2025-10-13 00:00:00,16475
tojinbo-shotaro,Person,2025-10-13 00:00:00,2025-10-14 00:00:00,18071
tojinbo-shotaro,Person,2025-10-14 00:00:00,2025-10-15 00:00:00,6879
tojinbo-shotaro,Person,2025-10-15 00:00:00,2025-10-16 00:00:00,8133
tojinbo-shotaro,Person,2025-10-16 00:00:00,2025-10-17 00:00:00,6403
tojinbo-shotaro,Person,2025-10-17 00:00:00,2025-10-18 00:00:00,10941
tojinbo-shotaro,Person,2025-10-18 00:00:00,2025-10-19 00:00:00,13421
tojinbo-shotaro,Person,2025-10-19 00:00:00,2025-10-20 00:00:00,17089
tojinbo-shotaro,Person,2025-10-20 00:00:00,2025-10-21 00:00:00,9625
tojinbo-shotaro,Person,2025-10-21 00:00:00,2025-10-22 00:00:00,8610
tojinbo-shotaro,Person,2025-10-22 00:00:00,2025-10-23 00:00:00,8795
tojinbo-shotaro,Person,2025-10-23 00:00:00,2025-10-24 00:00:00,9817
tojinbo-shotaro,Person,2025-10-24 00:00:00,2025-10-25 00:00:00,10133
tojinbo-shotaro,Person,2025-10-25 00:00:00,2025-10-26 00:00:00,14737
tojinbo-shotaro,Person,2025-10-26 00:00:00,2025-10-27 00:00:00,11729
tojinbo-shotaro,Person,2025-10-27 00:00:00,2025-10-28 00:00:00,10064
tojinbo-shotaro,Person,2025-10-28 00:00:00,2025-10-29 00:00:00,8292
tojinbo-shotaro,Person,2025-10-29 00:00:00,2025-10-30 00:00:00,8000
tojinbo-shotaro,Person,2025-10-30 00:00:00,2025-10-31 00:00:00,9409
tojinbo-shotaro,Person,2025-10-31 00:00:00,2025-11-01 00:00:00,8102
