placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-12-23 08:00:00,2025-12-23 08:05:00,8
tojinbo-shotaro,Person,2025-12-23 08:05:00,2025-12-23 08:10:00,13
tojinbo-shotaro,Person,2025-12-23 08:10:00,2025-12-23 08:15:00,12
tojinbo-shotaro,Person,2025-12-23 08:15:00,2025-12-23 08:20:00,16
tojinbo-shotaro,Person,2025-12-23 08:20:00,2025-12-23 08:25:00,23
tojinbo-shotaro,Person,2025-12-23 08:25:00,2025-12-23 08:30:00,26
tojinbo-shotaro,Person,2025-12-23 08:30:00,2025-12-23 08:35:00,32
tojinbo-shotaro,Person,2025-12-23 08:35:00,2025-12-23 08:40:00,16
tojinbo-shotaro,Person,2025-12-23 08:40:00,2025-12-23 08:45:00,12
tojinbo-shotaro,Person,2025-12-23 08:45:00,2025-12-23 08:50:00,8
tojinbo-shotaro,Person,2025-12-23 08:50:00,2025-12-23 08:55:00,8
tojinbo-shotaro,Person,2025-12-23 08:55:00,2025-12-23 09:00:00,4
