placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-04-11 00:00:00,2025-04-11 01:00:00,0
tojinbo-shotaro,Person,2025-04-11 01:00:00,2025-04-11 02:00:00,0
tojinbo-shotaro,Person,2025-04-11 02:00:00,2025-04-11 03:00:00,2
tojinbo-shotaro,Person,2025-04-11 03:00:00,2025-04-11 04:00:00,0
tojinbo-shotaro,Person,2025-04-11 04:00:00,2025-04-11 05:00:00,0
tojinbo-shotaro,Person,2025-04-11 05:00:00,2025-04-11 06:00:00,14
tojinbo-shotaro,Person,2025-04-11 06:00:00,2025-04-11 07:00:00,95
tojinbo-shotaro,Person,2025-04-11 07:00:00,2025-04-11 08:00:00,81
tojinbo-shotaro,Person,2025-04-11 08:00:00,2025-04-11 09:00:00,178
tojinbo-shotaro,Person,2025-04-11 09:00:00,2025-04-11 10:00:00,294
tojinbo-shotaro,Person,2025-04-11 10:00:00,2025-04-11 11:00:00,549
tojinbo-shotaro,Person,2025-04-11 11:00:00,2025-04-11 12:00:00,570
tojinbo-shotaro,Person,2025-04-11 12:00:00,2025-04-11 13:00:00,558
tojinbo-shotaro,Person,2025-04-11 13:00:00,2025-04-11 14:00:00,707
tojinbo-shotaro,Person,2025-04-11 14:00:00,2025-04-11 15:00:00,712
tojinbo-shotaro,Person,2025-04-11 15:00:00,2025-04-11 16:00:00,739
tojinbo-shotaro,Person,2025-04-11 16:00:00,2025-04-11 17:00:00,336
tojinbo-shotaro,Person,2025-04-11 17:00:00,2025-04-11 18:00:00,78
tojinbo-shotaro,Person,2025-04-11 18:00:00,2025-04-11 19:00:00,20
tojinbo-shotaro,Person,2025-04-11 19:00:00,2025-04-11 20:00:00,0
tojinbo-shotaro,Person,2025-04-11 20:00:00,2025-04-11 21:00:00,0
tojinbo-shotaro,Person,2025-04-11 21:00:00,2025-04-11 22:00:00,0
tojinbo-shotaro,Person,2025-04-11 22:00:00,2025-04-11 23:00:00,5
tojinbo-shotaro,Person,2025-04-11 23:00:00,2025-04-12 00:00:00,0
