placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-03-07 00:00:00,2025-03-07 01:00:00,0
fukui-station-east-entrance,Person,2025-03-07 01:00:00,2025-03-07 02:00:00,0
fukui-station-east-entrance,Person,2025-03-07 02:00:00,2025-03-07 03:00:00,0
fukui-station-east-entrance,Person,2025-03-07 03:00:00,2025-03-07 04:00:00,0
fukui-station-east-entrance,Person,2025-03-07 04:00:00,2025-03-07 05:00:00,0
fukui-station-east-entrance,Person,2025-03-07 05:00:00,2025-03-07 06:00:00,18
fukui-station-east-entrance,Person,2025-03-07 06:00:00,2025-03-07 07:00:00,69
fukui-station-east-entrance,Person,2025-03-07 07:00:00,2025-03-07 08:00:00,155
fukui-station-east-entrance,Person,2025-03-07 08:00:00,2025-03-07 09:00:00,251
fukui-station-east-entrance,Person,2025-03-07 09:00:00,2025-03-07 10:00:00,416
fukui-station-east-entrance,Person,2025-03-07 10:00:00,2025-03-07 11:00:00,642
fukui-station-east-entrance,Person,2025-03-07 11:00:00,2025-03-07 12:00:00,555
fukui-station-east-entrance,Person,2025-03-07 12:00:00,2025-03-07 13:00:00,770
fukui-station-east-entrance,Person,2025-03-07 13:00:00,2025-03-07 14:00:00,516
fukui-station-east-entrance,Person,2025-03-07 14:00:00,2025-03-07 15:00:00,708
fukui-station-east-entrance,Person,2025-03-07 15:00:00,2025-03-07 16:00:00,589
fukui-station-east-entrance,Person,2025-03-07 16:00:00,2025-03-07 17:00:00,647
fukui-station-east-entrance,Person,2025-03-07 17:00:00,2025-03-07 18:00:00,787
fukui-station-east-entrance,Person,2025-03-07 18:00:00,2025-03-07 19:00:00,519
fukui-station-east-entrance,Person,2025-03-07 19:00:00,2025-03-07 20:00:00,206
fukui-station-east-entrance,Person,2025-03-07 20:00:00,2025-03-07 21:00:00,146
fukui-station-east-entrance,Person,2025-03-07 21:00:00,2025-03-07 22:00:00,150
fukui-station-east-entrance,Person,2025-03-07 22:00:00,2025-03-07 23:00:00,92
fukui-station-east-entrance,Person,2025-03-07 23:00:00,2025-03-08 00:00:00,11
