placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2025-04-23 00:00:00,2025-04-23 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 01:00:00,2025-04-23 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 02:00:00,2025-04-23 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 03:00:00,2025-04-23 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 04:00:00,2025-04-23 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 05:00:00,2025-04-23 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 06:00:00,2025-04-23 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 07:00:00,2025-04-23 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 08:00:00,2025-04-23 09:00:00,11,0,6,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 09:00:00,2025-04-23 10:00:00,16,0,6,1,0,2,1,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 10:00:00,2025-04-23 11:00:00,29,0,10,4,2,1,1,3,1,1,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 11:00:00,2025-04-23 12:00:00,26,0,9,6,1,0,0,3,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 12:00:00,2025-04-23 13:00:00,29,0,15,1,1,1,6,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 13:00:00,2025-04-23 14:00:00,41,0,17,4,1,6,6,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 14:00:00,2025-04-23 15:00:00,28,1,3,0,1,4,2,4,1,1,0,5,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 15:00:00,2025-04-23 16:00:00,44,1,10,2,5,2,1,1,0,0,0,8,8,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 16:00:00,2025-04-23 17:00:00,32,0,11,3,2,5,1,1,0,0,0,3,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 17:00:00,2025-04-23 18:00:00,17,0,5,0,0,2,2,1,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 18:00:00,2025-04-23 19:00:00,13,0,3,1,1,0,3,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 19:00:00,2025-04-23 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 20:00:00,2025-04-23 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 21:00:00,2025-04-23 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 22:00:00,2025-04-23 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-04-23 23:00:00,2025-04-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
