placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-09-28 00:00:00,2025-09-28 01:00:00,0
fukui-station-east-entrance,Person,2025-09-28 01:00:00,2025-09-28 02:00:00,0
fukui-station-east-entrance,Person,2025-09-28 02:00:00,2025-09-28 03:00:00,0
fukui-station-east-entrance,Person,2025-09-28 03:00:00,2025-09-28 04:00:00,0
fukui-station-east-entrance,Person,2025-09-28 04:00:00,2025-09-28 05:00:00,0
fukui-station-east-entrance,Person,2025-09-28 05:00:00,2025-09-28 06:00:00,0
fukui-station-east-entrance,Person,2025-09-28 06:00:00,2025-09-28 07:00:00,0
fukui-station-east-entrance,Person,2025-09-28 07:00:00,2025-09-28 08:00:00,0
fukui-station-east-entrance,Person,2025-09-28 08:00:00,2025-09-28 09:00:00,0
fukui-station-east-entrance,Person,2025-09-28 09:00:00,2025-09-28 10:00:00,0
fukui-station-east-entrance,Person,2025-09-28 10:00:00,2025-09-28 11:00:00,0
fukui-station-east-entrance,Person,2025-09-28 11:00:00,2025-09-28 12:00:00,0
fukui-station-east-entrance,Person,2025-09-28 12:00:00,2025-09-28 13:00:00,0
fukui-station-east-entrance,Person,2025-09-28 13:00:00,2025-09-28 14:00:00,0
fukui-station-east-entrance,Person,2025-09-28 14:00:00,2025-09-28 15:00:00,0
fukui-station-east-entrance,Person,2025-09-28 15:00:00,2025-09-28 16:00:00,0
fukui-station-east-entrance,Person,2025-09-28 16:00:00,2025-09-28 17:00:00,0
fukui-station-east-entrance,Person,2025-09-28 17:00:00,2025-09-28 18:00:00,0
fukui-station-east-entrance,Person,2025-09-28 18:00:00,2025-09-28 19:00:00,0
fukui-station-east-entrance,Person,2025-09-28 19:00:00,2025-09-28 20:00:00,0
fukui-station-east-entrance,Person,2025-09-28 20:00:00,2025-09-28 21:00:00,0
fukui-station-east-entrance,Person,2025-09-28 21:00:00,2025-09-28 22:00:00,0
fukui-station-east-entrance,Person,2025-09-28 22:00:00,2025-09-28 23:00:00,0
fukui-station-east-entrance,Person,2025-09-28 23:00:00,2025-09-29 00:00:00,0
