placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2025-02-01 00:00:00,2025-02-02 00:00:00,323,2,105,26,23,29,12,10,20,2,1,28,15,14,16,9,4,2,5,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-02 00:00:00,2025-02-03 00:00:00,317,2,98,26,24,28,19,11,8,5,0,22,17,11,17,19,3,4,2,0,0,0,0,1,0,0,0,0
fukui-station-east-entrance,Face,2025-02-03 00:00:00,2025-02-04 00:00:00,267,2,77,18,19,30,12,8,10,5,0,23,13,13,19,4,6,5,2,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-04 00:00:00,2025-02-05 00:00:00,237,2,76,23,23,21,13,11,2,4,0,23,9,10,7,8,2,2,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-05 00:00:00,2025-02-06 00:00:00,172,3,43,17,12,12,14,7,4,3,0,18,11,7,10,2,2,4,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-06 00:00:00,2025-02-07 00:00:00,184,2,51,12,16,11,12,9,11,2,0,13,9,6,16,4,6,2,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-07 00:00:00,2025-02-08 00:00:00,213,2,52,22,18,21,11,14,7,3,0,26,10,4,9,7,2,2,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-08 00:00:00,2025-02-09 00:00:00,308,0,82,18,27,21,16,7,9,5,0,35,19,14,25,14,8,5,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-09 00:00:00,2025-02-10 00:00:00,490,2,117,39,25,57,26,20,17,12,1,38,23,23,35,31,7,10,6,0,0,0,1,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-10 00:00:00,2025-02-11 00:00:00,485,4,124,40,26,43,25,12,8,12,0,44,30,17,36,29,18,11,4,0,1,0,0,0,1,0,0,0
fukui-station-east-entrance,Face,2025-02-11 00:00:00,2025-02-12 00:00:00,330,4,107,25,24,38,18,16,10,8,1,19,18,10,15,7,6,0,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-12 00:00:00,2025-02-13 00:00:00,236,3,75,21,7,31,15,6,4,9,0,25,7,13,10,6,3,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-13 00:00:00,2025-02-14 00:00:00,281,3,90,23,18,25,19,19,11,3,0,22,8,11,7,8,6,4,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-14 00:00:00,2025-02-15 00:00:00,250,1,65,27,16,27,19,12,4,5,0,17,16,13,11,11,1,4,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-15 00:00:00,2025-02-16 00:00:00,310,2,99,23,23,27,18,12,17,8,0,13,18,15,12,8,10,3,1,0,0,0,0,0,0,0,1,0
fukui-station-east-entrance,Face,2025-02-16 00:00:00,2025-02-17 00:00:00,395,5,108,25,45,38,18,16,13,3,0,29,21,24,16,14,6,8,6,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-17 00:00:00,2025-02-18 00:00:00,229,4,47,20,19,25,10,16,4,4,0,26,11,11,12,7,6,6,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-18 00:00:00,2025-02-19 00:00:00,232,0,67,14,18,25,19,10,8,13,0,19,11,9,10,3,2,2,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-19 00:00:00,2025-02-20 00:00:00,311,1,103,23,23,30,18,12,6,3,0,29,17,10,14,9,9,1,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-20 00:00:00,2025-02-21 00:00:00,272,7,75,22,13,28,16,13,14,2,0,25,18,12,11,10,3,2,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-21 00:00:00,2025-02-22 00:00:00,282,4,86,16,19,21,22,16,6,5,0,26,15,14,16,4,8,2,1,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-22 00:00:00,2025-02-23 00:00:00,399,3,118,49,25,35,19,16,8,4,0,29,18,16,28,13,7,7,3,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-23 00:00:00,2025-02-24 00:00:00,512,5,152,47,31,50,34,22,13,6,1,48,23,23,21,18,7,6,3,0,0,0,0,0,1,1,0,0
fukui-station-east-entrance,Face,2025-02-24 00:00:00,2025-02-25 00:00:00,511,1,139,32,49,41,33,29,11,9,1,34,21,38,31,19,13,5,5,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-25 00:00:00,2025-02-26 00:00:00,304,1,83,14,23,39,19,13,15,5,0,23,23,13,15,5,4,6,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-26 00:00:00,2025-02-27 00:00:00,311,7,89,17,18,18,26,20,5,8,1,18,18,10,19,13,9,8,7,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-27 00:00:00,2025-02-28 00:00:00,372,4,103,23,37,35,26,18,12,5,1,33,17,16,20,8,9,3,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-28 00:00:00,2025-03-01 00:00:00,314,3,86,24,19,35,23,12,17,4,0,23,14,11,18,14,7,2,1,0,0,1,0,0,0,0,0,0
