placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2025-06-01 00:00:00,2025-06-02 00:00:00,369,5,125,32,21,36,19,14,8,5,1,27,14,10,15,23,6,5,1,0,0,0,0,1,1,0,0,0
fukui-station-east-entrance,Face,2025-06-02 00:00:00,2025-06-03 00:00:00,151,1,58,11,13,18,5,5,7,2,0,4,3,6,7,4,3,2,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-03 00:00:00,2025-06-04 00:00:00,261,2,80,21,16,31,11,15,4,12,0,13,12,7,7,9,6,7,8,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-04 00:00:00,2025-06-05 00:00:00,207,2,72,14,11,23,10,13,7,6,0,15,4,9,7,4,7,3,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-05 00:00:00,2025-06-06 00:00:00,296,1,103,21,17,34,28,15,17,7,0,20,2,8,5,8,1,5,3,0,0,0,0,0,0,0,1,0
fukui-station-east-entrance,Face,2025-06-06 00:00:00,2025-06-07 00:00:00,296,2,105,30,11,29,19,12,15,8,0,23,11,11,3,10,3,1,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-07 00:00:00,2025-06-08 00:00:00,365,6,133,21,18,39,25,15,15,6,0,24,15,9,13,9,8,4,5,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-08 00:00:00,2025-06-09 00:00:00,412,2,150,28,28,33,23,28,10,10,0,31,9,13,15,12,11,4,4,0,0,0,0,0,0,0,0,1
fukui-station-east-entrance,Face,2025-06-09 00:00:00,2025-06-10 00:00:00,225,6,77,11,17,22,12,8,6,4,0,18,11,8,11,5,4,1,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-10 00:00:00,2025-06-11 00:00:00,232,1,77,10,17,26,14,13,8,2,1,26,6,4,7,8,8,4,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-11 00:00:00,2025-06-12 00:00:00,252,3,102,20,21,23,15,13,4,4,0,19,8,8,6,2,1,3,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-12 00:00:00,2025-06-13 00:00:00,266,2,88,24,15,28,16,8,15,4,2,16,10,7,11,7,5,1,6,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-13 00:00:00,2025-06-14 00:00:00,350,5,107,26,25,41,31,13,15,7,0,22,8,10,19,5,7,5,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-14 00:00:00,2025-06-15 00:00:00,466,10,194,29,23,48,22,12,10,6,0,40,12,17,18,15,3,6,0,0,0,1,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-15 00:00:00,2025-06-16 00:00:00,329,3,110,21,25,36,19,5,10,4,0,22,16,15,17,11,5,4,4,0,1,0,0,0,0,0,1,0
fukui-station-east-entrance,Face,2025-06-16 00:00:00,2025-06-17 00:00:00,287,4,102,23,15,27,15,9,17,9,0,13,6,5,18,9,8,4,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-17 00:00:00,2025-06-18 00:00:00,203,6,65,22,17,22,10,7,8,2,0,7,5,8,9,5,5,1,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-18 00:00:00,2025-06-19 00:00:00,262,0,92,24,19,22,26,16,7,3,0,19,7,7,9,4,3,2,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-19 00:00:00,2025-06-20 00:00:00,256,2,101,25,11,17,13,11,8,7,0,22,7,5,11,8,1,1,6,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-06-20 00:00:00,2025-06-21 00:00:00,311,6,106,20,27,30,23,11,7,7,0,21,11,4,18,11,4,4,1,0,0,0,0,0,0,0,0,0
