placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2025-01-01 00:00:00,2025-01-02 00:00:00,462,3,151,34,39,44,31,17,9,6,0,47,10,15,23,14,8,5,5,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-02 00:00:00,2025-01-03 00:00:00,645,1,194,43,35,65,34,22,17,7,1,65,31,26,44,33,17,6,2,0,0,1,0,1,0,0,0,0
fukui-station-east-entrance,Face,2025-01-03 00:00:00,2025-01-04 00:00:00,625,8,181,55,37,58,47,28,19,7,1,54,34,26,31,23,9,3,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-04 00:00:00,2025-01-05 00:00:00,539,6,163,40,33,47,32,19,12,10,0,56,29,15,31,24,10,7,5,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-05 00:00:00,2025-01-06 00:00:00,380,2,93,33,30,44,21,18,9,5,0,36,21,16,20,16,10,4,1,0,0,0,0,0,1,0,0,0
fukui-station-east-entrance,Face,2025-01-06 00:00:00,2025-01-07 00:00:00,240,1,100,20,11,17,7,10,7,4,1,19,6,8,13,5,5,2,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-07 00:00:00,2025-01-08 00:00:00,220,2,83,17,13,23,14,7,3,5,0,16,7,6,10,8,3,3,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-08 00:00:00,2025-01-09 00:00:00,171,0,43,16,7,18,14,4,8,1,0,23,12,7,10,5,2,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-09 00:00:00,2025-01-10 00:00:00,201,2,66,15,8,20,14,10,6,7,0,23,7,5,7,6,4,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-10 00:00:00,2025-01-11 00:00:00,193,1,53,11,18,20,18,8,9,6,1,14,6,6,11,4,3,3,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-11 00:00:00,2025-01-12 00:00:00,277,3,90,22,22,26,14,10,13,6,0,19,14,10,12,8,4,3,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-12 00:00:00,2025-01-13 00:00:00,391,5,96,25,39,48,26,14,12,6,0,48,20,11,21,11,2,3,2,0,1,1,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-13 00:00:00,2025-01-14 00:00:00,304,2,99,21,20,33,20,11,15,5,0,26,12,10,12,7,5,3,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-14 00:00:00,2025-01-15 00:00:00,216,1,60,21,12,22,17,7,7,7,0,23,13,8,11,3,3,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-15 00:00:00,2025-01-16 00:00:00,230,3,69,13,17,24,15,8,8,9,0,23,4,8,12,7,6,2,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-16 00:00:00,2025-01-17 00:00:00,197,2,63,20,17,28,13,6,5,2,0,14,6,6,5,3,4,0,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-17 00:00:00,2025-01-18 00:00:00,214,1,51,16,11,24,18,9,7,3,0,21,13,11,11,12,4,1,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-18 00:00:00,2025-01-19 00:00:00,251,3,75,18,22,19,12,10,8,7,0,11,20,18,12,6,5,3,1,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-19 00:00:00,2025-01-20 00:00:00,420,7,104,30,25,50,56,30,18,10,0,22,16,7,11,10,13,8,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-20 00:00:00,2025-01-21 00:00:00,220,3,62,14,20,30,19,11,15,5,0,13,8,0,7,8,2,2,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-21 00:00:00,2025-01-22 00:00:00,179,2,71,8,15,19,12,3,8,2,0,13,8,4,3,8,1,1,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-22 00:00:00,2025-01-23 00:00:00,210,1,64,24,16,22,10,4,9,5,0,13,9,5,8,3,7,5,5,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-23 00:00:00,2025-01-24 00:00:00,259,2,81,23,24,19,15,16,8,7,0,22,9,9,10,8,4,0,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-24 00:00:00,2025-01-25 00:00:00,269,2,81,22,21,29,11,11,9,5,1,25,13,6,12,6,6,6,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-25 00:00:00,2025-01-26 00:00:00,377,1,104,29,31,46,25,14,13,11,0,27,18,13,16,16,4,3,6,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-26 00:00:00,2025-01-27 00:00:00,388,4,96,26,19,39,28,16,16,14,0,43,22,22,14,10,8,5,6,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-27 00:00:00,2025-01-28 00:00:00,247,1,77,24,16,24,7,9,9,8,0,20,12,10,10,7,6,3,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-28 00:00:00,2025-01-29 00:00:00,237,1,71,24,18,20,11,12,7,8,0,21,7,9,12,5,4,3,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-29 00:00:00,2025-01-30 00:00:00,246,2,69,20,20,19,19,12,7,2,0,24,14,9,11,6,4,3,5,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-30 00:00:00,2025-01-31 00:00:00,241,5,77,18,16,26,23,5,9,1,0,21,10,9,7,9,1,3,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-01-31 00:00:00,2025-02-01 00:00:00,262,3,75,14,19,31,16,8,8,4,0,31,8,9,10,11,6,7,2,0,0,0,0,0,0,0,0,0
