placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2026-01-30 00:00:00,2026-01-30 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 01:00:00,2026-01-30 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 02:00:00,2026-01-30 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 03:00:00,2026-01-30 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 04:00:00,2026-01-30 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 05:00:00,2026-01-30 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 06:00:00,2026-01-30 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 07:00:00,2026-01-30 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 08:00:00,2026-01-30 09:00:00,9,0,1,0,0,2,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 09:00:00,2026-01-30 10:00:00,28,1,6,3,1,3,2,0,1,1,0,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 10:00:00,2026-01-30 11:00:00,20,0,7,1,2,5,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 11:00:00,2026-01-30 12:00:00,36,0,6,3,5,4,8,1,1,1,0,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 12:00:00,2026-01-30 13:00:00,23,0,6,2,0,3,1,1,1,1,0,0,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 13:00:00,2026-01-30 14:00:00,34,0,19,1,0,2,1,2,0,1,0,3,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 14:00:00,2026-01-30 15:00:00,35,1,9,2,2,3,1,1,5,2,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 15:00:00,2026-01-30 16:00:00,34,0,14,0,0,5,2,3,3,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 16:00:00,2026-01-30 17:00:00,39,0,17,1,2,2,1,2,1,0,0,5,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 17:00:00,2026-01-30 18:00:00,30,0,7,2,2,4,0,2,2,0,0,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 18:00:00,2026-01-30 19:00:00,29,0,7,1,5,2,5,1,0,1,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 19:00:00,2026-01-30 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 20:00:00,2026-01-30 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 21:00:00,2026-01-30 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 22:00:00,2026-01-30 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2026-01-30 23:00:00,2026-01-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
