placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2026-03-20 00:00:00,2026-03-20 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 01:00:00,2026-03-20 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 02:00:00,2026-03-20 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 03:00:00,2026-03-20 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 04:00:00,2026-03-20 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 05:00:00,2026-03-20 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 06:00:00,2026-03-20 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 07:00:00,2026-03-20 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 08:00:00,2026-03-20 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 09:00:00,2026-03-20 10:00:00,12,0,2,2,0,1,1,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 10:00:00,2026-03-20 11:00:00,56,0,7,3,4,6,5,3,3,8,0,4,3,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 11:00:00,2026-03-20 12:00:00,133,0,29,22,23,28,11,4,4,3,0,1,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 12:00:00,2026-03-20 13:00:00,111,0,26,6,7,9,9,8,2,0,0,2,12,12,12,4,1,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 13:00:00,2026-03-20 14:00:00,117,0,22,13,16,5,6,6,4,4,0,9,11,6,8,4,2,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 14:00:00,2026-03-20 15:00:00,59,0,8,7,10,6,1,0,0,0,0,1,12,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 15:00:00,2026-03-20 16:00:00,42,0,7,4,4,4,4,1,0,1,0,0,4,2,5,3,2,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 16:00:00,2026-03-20 17:00:00,21,0,2,3,1,4,0,0,0,0,0,3,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 17:00:00,2026-03-20 18:00:00,44,0,7,8,6,6,5,0,0,0,0,0,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 18:00:00,2026-03-20 19:00:00,10,0,0,1,1,2,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 19:00:00,2026-03-20 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 20:00:00,2026-03-20 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 21:00:00,2026-03-20 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 22:00:00,2026-03-20 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-03-20 23:00:00,2026-03-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
