placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-09-10 07:00:00,2025-09-10 07:05:00,7
fukui-station-east-entrance,Person,2025-09-10 07:05:00,2025-09-10 07:10:00,13
fukui-station-east-entrance,Person,2025-09-10 07:10:00,2025-09-10 07:15:00,11
fukui-station-east-entrance,Person,2025-09-10 07:15:00,2025-09-10 07:20:00,9
fukui-station-east-entrance,Person,2025-09-10 07:20:00,2025-09-10 07:25:00,12
fukui-station-east-entrance,Person,2025-09-10 07:25:00,2025-09-10 07:30:00,14
fukui-station-east-entrance,Person,2025-09-10 07:30:00,2025-09-10 07:35:00,37
fukui-station-east-entrance,Person,2025-09-10 07:35:00,2025-09-10 07:40:00,17
fukui-station-east-entrance,Person,2025-09-10 07:40:00,2025-09-10 07:45:00,15
fukui-station-east-entrance,Person,2025-09-10 07:45:00,2025-09-10 07:50:00,17
fukui-station-east-entrance,Person,2025-09-10 07:50:00,2025-09-10 07:55:00,20
fukui-station-east-entrance,Person,2025-09-10 07:55:00,2025-09-10 08:00:00,32
