placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2025-03-01 16:00:00,2025-03-01 16:05:00,23,0,4,1,1,1,0,0,0,0,0,2,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:05:00,2025-03-01 16:10:00,19,0,6,3,1,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:10:00,2025-03-01 16:15:00,20,0,1,0,1,2,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:15:00,2025-03-01 16:20:00,14,0,1,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:20:00,2025-03-01 16:25:00,14,0,2,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:25:00,2025-03-01 16:30:00,27,0,10,3,6,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:30:00,2025-03-01 16:35:00,16,0,3,3,5,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:35:00,2025-03-01 16:40:00,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:40:00,2025-03-01 16:45:00,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:45:00,2025-03-01 16:50:00,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:50:00,2025-03-01 16:55:00,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-01 16:55:00,2025-03-01 17:00:00,16,0,5,2,2,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
