placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-01-08 08:00:00,2026-01-08 08:05:00,2
tojinbo-shotaro,Person,2026-01-08 08:05:00,2026-01-08 08:10:00,7
tojinbo-shotaro,Person,2026-01-08 08:10:00,2026-01-08 08:15:00,11
tojinbo-shotaro,Person,2026-01-08 08:15:00,2026-01-08 08:20:00,18
tojinbo-shotaro,Person,2026-01-08 08:20:00,2026-01-08 08:25:00,21
tojinbo-shotaro,Person,2026-01-08 08:25:00,2026-01-08 08:30:00,22
tojinbo-shotaro,Person,2026-01-08 08:30:00,2026-01-08 08:35:00,34
tojinbo-shotaro,Person,2026-01-08 08:35:00,2026-01-08 08:40:00,26
tojinbo-shotaro,Person,2026-01-08 08:40:00,2026-01-08 08:45:00,9
tojinbo-shotaro,Person,2026-01-08 08:45:00,2026-01-08 08:50:00,4
tojinbo-shotaro,Person,2026-01-08 08:50:00,2026-01-08 08:55:00,15
tojinbo-shotaro,Person,2026-01-08 08:55:00,2026-01-08 09:00:00,9
