placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-02-10 08:00:00,2025-02-10 08:05:00,3
tojinbo-shotaro,Person,2025-02-10 08:05:00,2025-02-10 08:10:00,4
tojinbo-shotaro,Person,2025-02-10 08:10:00,2025-02-10 08:15:00,1
tojinbo-shotaro,Person,2025-02-10 08:15:00,2025-02-10 08:20:00,18
tojinbo-shotaro,Person,2025-02-10 08:20:00,2025-02-10 08:25:00,16
tojinbo-shotaro,Person,2025-02-10 08:25:00,2025-02-10 08:30:00,26
tojinbo-shotaro,Person,2025-02-10 08:30:00,2025-02-10 08:35:00,12
tojinbo-shotaro,Person,2025-02-10 08:35:00,2025-02-10 08:40:00,9
tojinbo-shotaro,Person,2025-02-10 08:40:00,2025-02-10 08:45:00,20
tojinbo-shotaro,Person,2025-02-10 08:45:00,2025-02-10 08:50:00,18
tojinbo-shotaro,Person,2025-02-10 08:50:00,2025-02-10 08:55:00,16
tojinbo-shotaro,Person,2025-02-10 08:55:00,2025-02-10 09:00:00,23
