placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-01-01 00:00:00,2025-01-02 00:00:00,9718
fukui-station-east-entrance,Person,2025-01-02 00:00:00,2025-01-03 00:00:00,11478
fukui-station-east-entrance,Person,2025-01-03 00:00:00,2025-01-04 00:00:00,13093
fukui-station-east-entrance,Person,2025-01-04 00:00:00,2025-01-05 00:00:00,12801
fukui-station-east-entrance,Person,2025-01-05 00:00:00,2025-01-06 00:00:00,9841
fukui-station-east-entrance,Person,2025-01-06 00:00:00,2025-01-07 00:00:00,6158
fukui-station-east-entrance,Person,2025-01-07 00:00:00,2025-01-08 00:00:00,4593
fukui-station-east-entrance,Person,2025-01-08 00:00:00,2025-01-09 00:00:00,4460
fukui-station-east-entrance,Person,2025-01-09 00:00:00,2025-01-10 00:00:00,4393
fukui-station-east-entrance,Person,2025-01-10 00:00:00,2025-01-11 00:00:00,4952
fukui-station-east-entrance,Person,2025-01-11 00:00:00,2025-01-12 00:00:00,5693
fukui-station-east-entrance,Person,2025-01-12 00:00:00,2025-01-13 00:00:00,8090
fukui-station-east-entrance,Person,2025-01-13 00:00:00,2025-01-14 00:00:00,7231
fukui-station-east-entrance,Person,2025-01-14 00:00:00,2025-01-15 00:00:00,4990
fukui-station-east-entrance,Person,2025-01-15 00:00:00,2025-01-16 00:00:00,5328
fukui-station-east-entrance,Person,2025-01-16 00:00:00,2025-01-17 00:00:00,4761
fukui-station-east-entrance,Person,2025-01-17 00:00:00,2025-01-18 00:00:00,6143
fukui-station-east-entrance,Person,2025-01-18 00:00:00,2025-01-19 00:00:00,7452
fukui-station-east-entrance,Person,2025-01-19 00:00:00,2025-01-20 00:00:00,7919
fukui-station-east-entrance,Person,2025-01-20 00:00:00,2025-01-21 00:00:00,5068
fukui-station-east-entrance,Person,2025-01-21 00:00:00,2025-01-22 00:00:00,4852
fukui-station-east-entrance,Person,2025-01-22 00:00:00,2025-01-23 00:00:00,4970
fukui-station-east-entrance,Person,2025-01-23 00:00:00,2025-01-24 00:00:00,4787
fukui-station-east-entrance,Person,2025-01-24 00:00:00,2025-01-25 00:00:00,5827
fukui-station-east-entrance,Person,2025-01-25 00:00:00,2025-01-26 00:00:00,8195
fukui-station-east-entrance,Person,2025-01-26 00:00:00,2025-01-27 00:00:00,8024
fukui-station-east-entrance,Person,2025-01-27 00:00:00,2025-01-28 00:00:00,5536
fukui-station-east-entrance,Person,2025-01-28 00:00:00,2025-01-29 00:00:00,4887
fukui-station-east-entrance,Person,2025-01-29 00:00:00,2025-01-30 00:00:00,4492
fukui-station-east-entrance,Person,2025-01-30 00:00:00,2025-01-31 00:00:00,4625
fukui-station-east-entrance,Person,2025-01-31 00:00:00,2025-02-01 00:00:00,5997
