placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-11-26 08:00:00,2025-11-26 08:05:00,10
tojinbo-shotaro,Person,2025-11-26 08:05:00,2025-11-26 08:10:00,6
tojinbo-shotaro,Person,2025-11-26 08:10:00,2025-11-26 08:15:00,12
tojinbo-shotaro,Person,2025-11-26 08:15:00,2025-11-26 08:20:00,15
tojinbo-shotaro,Person,2025-11-26 08:20:00,2025-11-26 08:25:00,25
tojinbo-shotaro,Person,2025-11-26 08:25:00,2025-11-26 08:30:00,19
tojinbo-shotaro,Person,2025-11-26 08:30:00,2025-11-26 08:35:00,11
tojinbo-shotaro,Person,2025-11-26 08:35:00,2025-11-26 08:40:00,3
tojinbo-shotaro,Person,2025-11-26 08:40:00,2025-11-26 08:45:00,12
tojinbo-shotaro,Person,2025-11-26 08:45:00,2025-11-26 08:50:00,11
tojinbo-shotaro,Person,2025-11-26 08:50:00,2025-11-26 08:55:00,47
tojinbo-shotaro,Person,2025-11-26 08:55:00,2025-11-26 09:00:00,28
