placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-03-06 00:00:00,2025-03-06 01:00:00,0
tojinbo-shotaro,Person,2025-03-06 01:00:00,2025-03-06 02:00:00,1
tojinbo-shotaro,Person,2025-03-06 02:00:00,2025-03-06 03:00:00,2
tojinbo-shotaro,Person,2025-03-06 03:00:00,2025-03-06 04:00:00,4
tojinbo-shotaro,Person,2025-03-06 04:00:00,2025-03-06 05:00:00,6
tojinbo-shotaro,Person,2025-03-06 05:00:00,2025-03-06 06:00:00,5
tojinbo-shotaro,Person,2025-03-06 06:00:00,2025-03-06 07:00:00,105
tojinbo-shotaro,Person,2025-03-06 07:00:00,2025-03-06 08:00:00,81
tojinbo-shotaro,Person,2025-03-06 08:00:00,2025-03-06 09:00:00,241
tojinbo-shotaro,Person,2025-03-06 09:00:00,2025-03-06 10:00:00,338
tojinbo-shotaro,Person,2025-03-06 10:00:00,2025-03-06 11:00:00,592
tojinbo-shotaro,Person,2025-03-06 11:00:00,2025-03-06 12:00:00,610
tojinbo-shotaro,Person,2025-03-06 12:00:00,2025-03-06 13:00:00,480
tojinbo-shotaro,Person,2025-03-06 13:00:00,2025-03-06 14:00:00,598
tojinbo-shotaro,Person,2025-03-06 14:00:00,2025-03-06 15:00:00,440
tojinbo-shotaro,Person,2025-03-06 15:00:00,2025-03-06 16:00:00,649
tojinbo-shotaro,Person,2025-03-06 16:00:00,2025-03-06 17:00:00,540
tojinbo-shotaro,Person,2025-03-06 17:00:00,2025-03-06 18:00:00,46
tojinbo-shotaro,Person,2025-03-06 18:00:00,2025-03-06 19:00:00,0
tojinbo-shotaro,Person,2025-03-06 19:00:00,2025-03-06 20:00:00,0
tojinbo-shotaro,Person,2025-03-06 20:00:00,2025-03-06 21:00:00,0
tojinbo-shotaro,Person,2025-03-06 21:00:00,2025-03-06 22:00:00,0
tojinbo-shotaro,Person,2025-03-06 22:00:00,2025-03-06 23:00:00,3
tojinbo-shotaro,Person,2025-03-06 23:00:00,2025-03-07 00:00:00,5
