placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2025-10-15 00:00:00,2025-10-15 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 01:00:00,2025-10-15 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 02:00:00,2025-10-15 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 03:00:00,2025-10-15 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 04:00:00,2025-10-15 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 05:00:00,2025-10-15 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 06:00:00,2025-10-15 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 07:00:00,2025-10-15 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 08:00:00,2025-10-15 09:00:00,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 09:00:00,2025-10-15 10:00:00,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 10:00:00,2025-10-15 11:00:00,35,0,8,2,1,5,4,3,1,0,0,5,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 11:00:00,2025-10-15 12:00:00,63,0,25,3,2,0,7,8,7,2,0,1,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 12:00:00,2025-10-15 13:00:00,56,0,9,2,2,6,3,1,1,0,0,5,4,5,7,5,4,1,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 13:00:00,2025-10-15 14:00:00,18,0,1,1,2,1,1,2,0,0,0,0,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 14:00:00,2025-10-15 15:00:00,30,0,5,3,1,5,1,3,3,1,0,1,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 15:00:00,2025-10-15 16:00:00,42,0,12,5,7,3,1,0,1,2,0,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 16:00:00,2025-10-15 17:00:00,25,0,3,5,6,7,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 17:00:00,2025-10-15 18:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 18:00:00,2025-10-15 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 19:00:00,2025-10-15 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 20:00:00,2025-10-15 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 21:00:00,2025-10-15 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 22:00:00,2025-10-15 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-10-15 23:00:00,2025-10-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
