placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-03-11 08:00:00,2026-03-11 08:05:00,0
tojinbo-shotaro,Person,2026-03-11 08:05:00,2026-03-11 08:10:00,6
tojinbo-shotaro,Person,2026-03-11 08:10:00,2026-03-11 08:15:00,11
tojinbo-shotaro,Person,2026-03-11 08:15:00,2026-03-11 08:20:00,15
tojinbo-shotaro,Person,2026-03-11 08:20:00,2026-03-11 08:25:00,36
tojinbo-shotaro,Person,2026-03-11 08:25:00,2026-03-11 08:30:00,40
tojinbo-shotaro,Person,2026-03-11 08:30:00,2026-03-11 08:35:00,12
tojinbo-shotaro,Person,2026-03-11 08:35:00,2026-03-11 08:40:00,9
tojinbo-shotaro,Person,2026-03-11 08:40:00,2026-03-11 08:45:00,12
tojinbo-shotaro,Person,2026-03-11 08:45:00,2026-03-11 08:50:00,20
tojinbo-shotaro,Person,2026-03-11 08:50:00,2026-03-11 08:55:00,9
tojinbo-shotaro,Person,2026-03-11 08:55:00,2026-03-11 09:00:00,8
