placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2025-02-11 00:00:00,2025-02-11 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 01:00:00,2025-02-11 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 02:00:00,2025-02-11 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 03:00:00,2025-02-11 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 04:00:00,2025-02-11 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 05:00:00,2025-02-11 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 06:00:00,2025-02-11 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 07:00:00,2025-02-11 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 08:00:00,2025-02-11 09:00:00,9,1,3,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 09:00:00,2025-02-11 10:00:00,20,0,8,1,1,2,0,0,1,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 10:00:00,2025-02-11 11:00:00,24,0,6,1,2,6,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 11:00:00,2025-02-11 12:00:00,27,1,8,4,2,2,2,1,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 12:00:00,2025-02-11 13:00:00,47,2,18,4,1,3,1,2,1,3,0,2,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 13:00:00,2025-02-11 14:00:00,28,0,7,2,1,3,1,2,2,1,0,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 14:00:00,2025-02-11 15:00:00,47,0,12,5,2,7,2,2,2,1,0,5,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 15:00:00,2025-02-11 16:00:00,54,0,25,2,8,6,3,3,1,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 16:00:00,2025-02-11 17:00:00,36,0,9,1,2,6,2,2,1,0,1,2,3,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 17:00:00,2025-02-11 18:00:00,14,0,5,1,3,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 18:00:00,2025-02-11 19:00:00,24,0,6,4,1,2,1,2,0,0,0,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 19:00:00,2025-02-11 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 20:00:00,2025-02-11 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 21:00:00,2025-02-11 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 22:00:00,2025-02-11 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-02-11 23:00:00,2025-02-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
